"","TCGA-44-2668-11A-01R-1758-07","TCGA-50-5936-11A-01R-1628-07","TCGA-44-2661-11A-01R-1758-07","TCGA-44-3398-11B-01R-1758-07","TCGA-44-6776-11A-01R-1858-07","TCGA-91-6831-11A-02R-1858-07","TCGA-50-5932-11A-01R-1755-07","TCGA-55-6984-11A-01R-1949-07","TCGA-44-2657-11A-01R-1758-07","TCGA-38-4627-11A-01R-1758-07","TCGA-69-7980-01A-11R-2187-07","TCGA-55-1592-01A-01R-0946-07","TCGA-55-7727-01A-11R-2170-07","TCGA-55-6972-01A-11R-1949-07","TCGA-49-AARE-01A-11R-A41B-07","TCGA-86-7713-01A-11R-2066-07","TCGA-55-7913-01B-11R-2241-07","TCGA-44-A47G-01A-21R-A24H-07","TCGA-44-2662-01B-02R-A277-07","TCGA-44-5645-01A-01R-1628-07"
"PGAM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRI3",8528,4882,7330,8086,4592,1970,3877,9540,7142,9240,4906,12101,1417,2929,5671,3547,9143,3171,1495,4231
"LMTK2",3146,2813,3404,3542,2686,1551,2771,4207,1998,650,3343,5741,1402,738,2226,10532,4671,1358,2984,3649
"SLC35G3",0,0,1,0,0,0,0,1,0,1,1,0,0,1,2,0,0,1,0,2
"CTSB",166839,27985,62857,69976,22897,15715,25114,77460,54319,87305,96090,166765,23563,17564,62006,44964,82021,85853,21813,36550
"SOX17",477,184,478,1059,351,543,622,107,251,563,96,80,7,4,84,36,81,164,41,57
"SEPTIN7P5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DLC1",14076,29171,13995,15594,22612,13999,12600,27662,7561,7716,3493,3814,2243,6856,1032,10512,6826,2132,1892,2720
"ADCY1",159,407,521,212,147,68,120,99,200,76,445,199,155,139,98,150,458,50,81,133
"C8orf48",42,36,71,81,29,28,32,167,37,78,130,23,27,201,34,127,152,16,13,115
"SUN3",2,1,4,1,2,1,1,0,4,2,641,46,1,3,21,3,42,3,19,1
"C7orf57",22,26,35,317,99,7,36,469,109,31,125,27,263,27,75,366,26,161,30,548
"HNF4G",19,8,17,33,25,6,7,59,15,20,543,747,469,59,328,679,1006,271,132,73
"PEX2",1757,1711,2223,3122,1758,989,1308,3914,1882,3701,1899,4916,1276,1681,1963,2691,3898,1558,679,1662
"RAD21",7674,6299,8116,10531,6820,3981,5588,11635,7466,7295,9425,18480,7086,7263,8499,37089,22938,5707,3768,4854
"SLC30A8",2,177,13,3,41,1,47,4,6,4,12,47,4,215,16,2,49,14,15,4
"MED30",403,323,409,627,303,157,216,715,392,600,524,931,257,261,429,1129,912,375,50,275
"TNFRSF11B",222,252,898,798,208,131,80,233,269,1595,180,659,97,12,61,117,157,97,215,97
"SBSPON",411,795,1033,1173,1050,314,703,1730,666,905,136,184,40,48,66,281,62,98,90,113
"PHKG1",31,24,39,96,41,17,46,89,26,28,69,54,16,16,89,188,78,58,32,47
"EN2",0,0,2,4,0,0,2,2,0,0,44,3,0,5,44,1,12,1,3,70
"KCNV1",1,1,2,0,1,0,0,0,1,1,12,0,14,4,0,0,41,0,20,0
"CSMD3",3,7,4,3,3,5,1,4,1,10,5,1,1,0,0,4,0,4,66,9
"SPIDR",4538,3201,2868,3519,3158,1761,1997,4504,2689,2571,3513,8796,2105,2666,3724,6555,5250,3101,2133,2196
"ORC5",542,264,482,736,333,203,285,706,492,639,809,1740,383,718,1034,1448,2203,579,709,641
"DEFA5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"DNAAF5",1485,741,1362,1713,624,309,620,1732,1234,870,2584,2294,658,1206,2987,4965,6711,1332,449,1099
"DEFA4",4,0,0,20,0,3,0,0,2,8,0,67,0,0,0,0,4,0,0,1
"DEFA6",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"OSGIN2",2435,2048,2031,2107,2610,2245,1463,3885,1218,1792,1449,4206,1626,560,1312,1410,2192,2833,1464,991
"DEFB1",128,28,69,62,35,25,84,271,58,877,105,543,1,1,3037,4,4,35,1,1
"SUN1",4605,3659,4958,8386,3678,2417,3463,6928,2675,3180,8692,10193,2929,2705,7444,16697,22688,5038,2487,3880
"OXR1",1436,1769,1997,2997,1589,964,1405,2824,1428,2389,2133,4398,1757,848,1696,3934,1244,1672,1337,2727
"TMEM74",2,6,17,41,3,7,10,16,8,17,4,318,54,5,4,420,54,2,17,3
"FAM86FP",18,35,42,93,27,13,22,50,45,36,163,25,7,46,74,292,90,30,22,36
"GPR146",56,144,109,300,83,63,120,92,88,161,37,73,9,9,22,58,20,30,51,32
"GPER1",329,304,688,1491,522,153,494,451,430,560,214,163,7,31,95,87,250,188,58,59
"UNCX",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0
"TMEM184A",405,173,232,320,173,42,124,459,231,63,4895,2421,350,531,11197,3920,11489,1163,226,522
"NOS3",2609,464,1150,628,237,517,515,309,778,262,490,479,37,227,529,222,694,535,131,167
"SPAG11B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MICALL2",1145,487,868,822,538,337,423,1086,717,636,3602,2314,228,615,3943,2147,9164,4185,631,1520
"CA3",127,103,414,423,151,146,165,246,809,1838,187,447,40,95,11,12,20,179,48,46
"INTS1",7030,3792,5779,7338,2734,1406,2872,6264,4692,2330,12328,9248,979,2463,13010,18977,21232,5589,680,4397
"CDK5",857,328,541,665,249,130,205,658,553,713,760,1901,208,521,1168,1116,1186,677,69,610
"SLC4A2",7549,3329,4903,5719,2670,999,2550,5139,3849,3298,4751,10522,547,4014,3265,17982,8656,2593,451,4147
"SLC7A13",0,0,1,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,4,0
"FASTK",2300,1224,2439,2745,1256,562,1028,2801,2049,2328,4789,7225,562,2497,6190,5851,7142,3661,380,2327
"TMUB1",1866,795,1548,1756,618,358,553,2010,1520,1434,2742,4712,240,1243,3330,4174,3944,2382,75,1304
"FMC1",15,8,9,31,14,7,10,33,10,35,34,43,6,23,30,37,9,7,16,12
"GBX1",0,1,0,2,0,1,0,0,0,0,119,262,0,1,5,1,0,0,1,1
"PHAX",1552,1095,1563,2106,1090,772,1006,2171,1259,1148,1722,2970,615,362,991,4747,1827,1068,721,1458
"ALDH7A1",1736,1287,2321,2858,1710,836,1194,2595,1537,1832,2406,5282,638,1096,2783,7604,3941,1620,1108,4455
"FOXK1",3556,2056,3984,4300,1440,499,1957,4065,2705,807,1449,3631,2514,764,4252,6856,9359,1688,1209,2243
"COX6C",2198,1234,1677,3077,1198,553,987,3733,1741,3269,3021,3877,1793,1589,6104,3975,8945,2372,430,1529
"OSR2",137,39,201,171,70,37,88,70,81,128,388,825,32,95,290,96,67,127,15,75
"YWHAZ",36160,17762,25141,32892,16473,14822,15662,30232,20981,27571,46334,67492,28446,21591,60611,56933,93411,37824,13410,19740
"BAALC",200,344,446,371,174,185,290,201,255,567,91,85,281,18,56,702,60,68,60,78
"FZD6",2628,2273,3209,3897,1999,1919,2206,6264,1805,2730,3466,6525,1550,1053,1780,4887,6283,2085,1257,1623
"CTHRC1",178,51,1827,257,75,48,61,137,177,1230,5775,2216,2227,60,2933,1082,4691,3341,2130,330
"SLC25A32",7,6,2,7,4,1,1,4,2,0,10,33,4,1,6,24,19,16,122,4
"DCAF13",1675,601,992,1448,549,509,499,1187,895,1357,1919,5426,1533,1252,3428,4190,3777,1915,1277,1187
"DCSTAMP",544,345,298,263,138,184,43,292,326,50,48,597,33,1,22,15,31,154,60,11
"TP53INP1",2047,3865,3470,4275,3548,1729,1637,6670,3211,2693,6318,9388,3636,980,3367,4766,5679,4322,2384,3646
"INTS8",826,679,909,1276,720,443,489,1165,715,761,1298,3195,1460,936,2782,4019,4176,1427,1439,1066
"VIRMA",2604,2170,2766,3813,2005,1101,1795,3648,2080,1850,3746,6512,2631,1876,2904,6395,6589,2222,1671,2437
"FREM1",256,421,465,712,162,96,289,379,190,184,1389,995,34,8,42,126,6,259,37,128
"GEM",2062,3813,3083,1271,1565,1159,865,3550,3186,3749,4291,2846,251,6581,660,4583,1213,1983,1118,1038
"PDP1",1168,819,1308,2157,823,594,890,1602,888,1294,3559,6256,1919,626,1094,2900,2740,1700,2686,1276
"TMEM67",336,278,385,930,438,238,293,1437,302,338,615,979,395,339,266,1301,693,558,597,667
"WASHC5",2887,1805,2354,3047,1507,916,1496,2662,1831,1778,2340,7493,1670,1119,1709,8523,5908,2051,1173,1914
"RPP25L",579,342,704,751,302,148,258,823,800,914,1038,2009,217,859,1323,722,2111,333,22,455
"FAM219A",1663,963,1471,1815,847,621,739,1404,1103,984,1765,2441,527,366,1666,741,2451,1089,329,842
"C9orf24",32,105,167,1522,437,4,86,2115,539,231,156,18,66,22,353,11,68,155,8,1212
"SNAPC3",1123,920,1317,1731,938,726,750,1559,996,1324,1597,2991,1365,1104,2268,2292,1093,1324,1607,833
"MYORG",1619,700,1494,1332,706,372,780,1594,949,562,2203,6531,1616,294,2279,1605,4764,944,85,555
"NUDT2",344,241,777,640,238,151,250,543,684,953,670,1106,238,430,532,523,552,318,81,271
"TMEM65",926,773,1091,1521,731,796,845,1657,681,1135,1824,4393,611,512,3082,7421,3164,1038,2451,1044
"PSIP1",1741,2181,3007,4815,2550,1994,2136,3933,2715,2307,2847,3245,2369,872,3164,4163,381,1876,1654,2526
"CCDC171",190,108,104,254,198,84,124,234,125,84,179,242,97,136,218,206,57,99,343,198
"UBAP1",6530,2503,3745,4923,2463,2099,2049,4680,2847,3800,11031,6882,4094,4980,6326,5968,5334,3426,803,4029
"DIRAS2",1,4,16,24,4,1,5,26,15,2,49,7,12,3,4,1,2,1,1,41
"SYK",7379,2869,4178,6110,1849,1259,2242,4844,5549,2680,4903,4251,3335,1013,4251,2155,7516,3314,1338,3395
"NIPSNAP3B",85,91,152,223,84,64,89,188,113,125,268,350,134,50,206,249,193,188,124,126
"ABCA1",3709,4504,5759,5615,3894,2800,5856,9086,3040,1014,5204,4757,2527,521,1842,7821,2893,3593,9856,2903
"NFIL3",4168,2442,1524,2767,1873,1937,1780,2543,2521,2570,2136,2136,714,548,1328,2547,1562,1785,836,470
"LETM2",103,192,105,227,157,118,55,150,71,99,203,121,49,31,76,30,83,79,105,104
"METTL2B",992,525,671,880,621,402,406,1175,667,546,1166,2972,794,948,1638,2801,1826,912,746,881
"PRKACG",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,1
"FXN",234,173,213,320,157,82,132,350,224,239,370,220,107,146,276,395,798,158,173,155
"ZMAT4",0,0,7,4,5,0,1,4,0,2,3,1,0,0,1,0,0,0,15,0
"NKX6-3",2,0,1,0,1,0,0,1,11,5,5,50,1,1,2,0,8,0,0,0
"TMEM71",264,72,171,271,62,116,113,91,160,189,161,194,42,5,71,38,1532,335,385,173
"MAMDC2",1343,3175,4894,5167,1034,1494,2097,3269,1243,3640,506,996,122,88,117,238,443,322,170,668
"PRSS37",1,2,1,5,1,1,0,2,1,0,16,9,1,1,1,0,1,1,19,2
"CPA6",16,33,80,64,10,21,8,20,45,20,25,58,109,10,4,18,18,6,15,0
"C8orf34",294,163,204,345,245,121,92,623,220,254,81,146,128,45,26,614,16,44,184,269
"TMC1",11,7,12,17,6,2,1,10,11,5,7,10,4,26,130,6,5,17,37,18
"ALDH1A1",10117,7749,11457,20132,6586,4139,4977,17708,7069,6653,2722,10952,852,165,1364,633,411,2844,179,10314
"KDM1B",1442,778,1063,1868,802,491,821,1871,1000,831,1175,3686,1040,758,1241,6459,1369,1009,1199,1173
"HGSNAT",6893,4362,6003,6849,3415,2170,3106,6049,3701,3124,6905,10821,7613,1447,7404,16136,12335,7911,1864,4231
"RASEF",3314,783,1029,1748,918,798,1612,2997,848,895,5781,3323,3245,1391,2736,2558,10332,3702,2106,1761
"GKAP1",169,164,229,297,258,141,133,330,123,171,304,490,166,336,213,380,597,158,97,177
"KIF27",117,133,149,383,227,141,208,489,143,100,288,212,307,210,289,875,662,248,340,437
"C9orf64",1339,704,956,1294,652,317,603,1200,762,902,1444,1905,814,643,1230,1630,2391,997,193,938
"HNRNPK",25087,13896,18630,27394,13507,9842,11548,23342,16318,18908,33558,36321,16911,14685,26755,33078,48971,19486,5646,18470
"SSMEM1",3,6,3,1,2,0,5,12,2,1,0,1,0,1,3,0,0,0,2,0
"AL353743.1",156,119,153,201,230,145,125,202,114,93,232,248,104,104,126,868,298,173,117,139
"SVEP1",2959,5426,7499,12363,1854,2621,4588,4376,2356,3304,1723,2103,428,98,614,952,909,1007,516,1213
"TRPV6",35,26,131,185,62,4,27,89,61,44,7,33,31,3,18,3,1,16,55,66
"LLCFC1",2,1,0,0,0,1,1,0,1,0,1,4,4,0,1,2,2,1,2,2
"ANKS6",1894,1076,1742,1972,1017,347,862,2587,1371,686,1445,1927,1029,1013,2544,3238,3762,1716,405,1829
"FBP1",31777,6364,9005,10790,2056,1850,4498,10022,5738,3789,1595,4462,638,1096,1043,1788,2472,2357,355,2264
"PGAP4",312,758,1510,1841,625,341,722,1355,524,516,380,1396,43,16,1749,160,1580,101,32,122
"ZHX1",1758,1463,1915,2528,1562,1213,1418,2379,1221,1827,1326,2967,1317,895,940,4116,2912,1378,1487,1467
"CFAP47",4,22,25,267,113,1,36,378,38,7,85,12,10,18,65,102,110,43,51,394
"CYBB",36106,11901,11858,19311,3210,5351,7258,11779,9627,9897,7161,13892,2848,87,1028,2918,1973,8849,9579,7731
"DYNLT3",1784,1386,1605,2303,1286,1131,1216,2565,1036,2710,2259,2864,1635,808,1398,3391,2228,1276,920,1777
"METTL27",155,125,49,388,65,16,103,419,204,38,204,916,55,451,523,217,273,43,35,135
"MID1IP1",6128,8392,5140,6122,5100,2712,3474,7023,7676,5089,3790,3483,1210,3174,4406,7929,5788,3506,209,7010
"NCF1C",531,216,202,266,34,89,71,474,445,175,205,160,25,5,149,53,58,163,15,138
"SHOC1",15,5,20,32,17,10,5,47,14,2,55,107,724,14,52,68,47,40,1406,13
"CXorf58",0,0,4,12,6,0,1,6,3,3,2,3,7,6,13,4,13,4,52,5
"KIAA1958",575,654,602,695,805,248,484,1290,435,193,632,839,483,531,588,1681,1216,446,695,573
"PTCHD1",233,62,69,184,92,21,96,295,183,92,11,63,50,11,21,61,5,25,57,265
"RNF183",7,4,2,7,8,2,5,21,4,2,194,154,38,9,22,580,884,195,107,23
"ASB11",1,9,5,4,8,1,2,11,2,8,1,1,6,0,1,189,5,4,18,3
"PCDH19",84,19,59,98,21,16,30,41,10,15,30,228,25,7,98,32,127,34,13,55
"PIGA",1836,4260,616,740,3727,1840,746,2297,1499,973,3718,1762,1214,1962,1127,7195,2278,952,1535,919
"VEGFD",801,2997,4201,4503,1124,1349,2235,2750,1280,3124,311,371,120,116,26,225,15,80,11,513
"OR1Q1",0,0,0,1,0,2,0,0,0,0,3,25,0,5,1,0,3,0,5,0
"OR1K1",0,0,0,1,0,0,0,0,0,0,1,2,2,0,2,2,0,0,4,0
"STRBP",786,689,769,1164,812,364,506,1503,1586,445,2076,3777,1175,1573,2836,5256,7072,1148,816,1332
"CLDN3",1176,526,869,1158,542,204,415,2391,751,782,17650,7918,568,3827,22168,11111,24717,3406,7,1843
"GAPVD1",3741,3090,3782,4626,3016,1746,2585,5754,2706,1749,3800,5261,2889,1759,2940,11029,4316,2303,2629,6750
"CARD19",1245,400,846,985,293,232,370,924,616,1247,1188,1171,108,523,1347,704,1310,1084,178,332
"WNK2",107,45,44,221,117,12,18,243,112,36,1909,1590,38,46,706,3857,4856,247,102,262
"ATP7A",1173,1062,1088,1855,981,683,838,1349,700,825,1353,2217,1043,649,1342,1766,2201,1105,1215,2043
"ZNF367",275,70,123,203,55,50,132,115,162,175,569,627,248,54,299,356,776,246,349,156
"NLGN4Y",257,155,0,3,0,74,141,0,0,2,0,264,399,12,0,49,1,0,187,0
"HDX",208,147,185,201,109,122,122,122,87,196,532,238,177,51,40,40,283,195,240,135
"NDUFB6",1491,735,1182,1841,813,483,626,2013,1159,2773,2126,3162,695,1469,1916,1352,2909,794,157,814
"AQP7",212,46,132,185,121,62,66,261,127,119,2760,281,96,636,30,327,436,80,22,167
"NOL6",4954,1532,2601,3088,1166,637,1269,2557,2505,1577,9820,7538,2247,1793,3901,8867,10376,2473,653,2288
"AQP3",52141,9506,18749,16582,10519,9544,7367,18949,29377,15643,72833,23254,22176,57795,4189,16124,71661,7769,412,30388
"TRMT10B",281,235,334,428,284,154,208,514,299,127,290,1077,314,195,433,783,578,296,244,375
"VCP",25464,10261,17395,19136,8555,5397,8143,14779,15250,12103,28804,32934,9178,9195,21708,22802,35516,10667,2338,12564
"PIGO",2869,1416,2265,2378,1217,535,1066,2381,2048,1324,3016,5614,781,1716,1602,3323,6738,1207,202,2255
"STOML2",3078,1405,2736,3305,1403,750,1103,2776,2817,4010,4963,7809,1428,2700,4965,4618,10173,2054,203,1935
"BRWD3",858,645,769,1080,687,629,429,1130,525,348,2130,1540,1485,319,1005,4001,2372,1095,3010,1306
"SLITRK5",9,51,68,430,42,9,50,42,10,43,35,34,282,0,54,10,16,9,585,27
"MELK",161,33,55,76,17,9,34,26,188,88,851,1773,846,117,1429,1032,2724,444,478,123
"ARMC3",26,63,82,746,424,5,66,1364,197,43,318,127,407,56,293,458,246,323,79,1050
"OTUD1",2307,4591,2173,3358,3983,2830,2193,8005,2058,2282,848,2597,706,569,682,881,1650,658,337,749
"ARHGAP12",2864,1642,2005,2956,1742,1140,1382,3086,1255,1525,3473,6175,1981,1851,3258,8628,5040,3035,2146,2171
"FAT3",145,595,350,564,177,183,343,271,160,228,127,221,17,6,13,16,1,32,130,81
"DEUP1",2,5,9,44,24,1,9,79,8,1,181,51,74,30,632,18,19,29,69,46
"HECTD2",435,361,482,810,462,354,347,577,248,595,751,900,364,182,331,570,1043,389,1337,402
"SLC7A3",3,3,3,2,1,0,1,0,18,3,0,1,0,0,1,0,0,2,2,2
"FBXO33",1247,997,886,1494,1087,670,823,1895,844,1031,1020,1793,969,664,410,2069,2091,579,603,627
"INTS6L",239,199,322,479,253,190,196,525,425,179,504,1148,554,126,696,495,974,677,830,633
"GPR101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
"CLDN2",179,72,851,176,34,21,146,387,1469,1126,4085,610,153,2,67,424,96,160,56,2130
"LRFN5",23,32,85,132,21,19,47,19,37,51,34,45,16,1,30,13,8,36,98,45
"LRRC18",10,55,43,202,64,4,70,245,59,20,20,10,6,0,29,16,33,24,63,67
"SPTSSA",8521,4046,2744,4343,6698,3293,3012,6474,2830,4851,5236,8721,6938,2770,2911,13383,29811,3941,1494,1427
"WRN",606,604,718,1026,616,373,463,839,537,304,1256,2234,718,175,1220,1887,1382,502,751,617
"MARCHF8",2416,1882,2750,4261,1552,880,1590,2902,2407,1348,3531,2206,1043,869,1069,3006,5194,1334,484,1998
"TSHR",2,0,5,20,2,2,3,3,20,1,14,34,10,15,30,24,9,53,136,8
"CFL2",2082,3222,2587,3545,3264,2160,2150,4916,1678,3887,1153,2400,1347,550,795,1450,2889,665,675,644
"SUGT1",1853,1404,2077,2973,1675,1054,1277,3309,1540,1716,2447,2897,1752,1087,3144,2457,1944,1407,1631,1588
"GTF2A1",1734,1715,1766,2795,1483,1153,1408,2707,1537,1940,1990,3508,1299,870,1175,4325,3313,1461,1916,2041
"ZCCHC24",2716,1974,3549,4527,1089,871,1842,2235,1954,2654,1346,2309,479,423,897,1198,1171,1111,471,1255
"PGM2L1",659,323,603,767,267,310,278,878,465,388,1899,3388,1984,237,8294,923,1864,1559,2173,2308
"PHYHIPL",3,1,4,8,3,0,2,9,2,9,34,13,1,2,3,3,67,0,12,9
"SLC16A9",404,29,142,164,67,50,101,61,136,221,785,690,1986,3,371,2831,2434,424,15,164
"FOLR2",2263,302,2330,2026,355,294,637,877,1636,3365,1113,1613,187,71,204,469,220,1343,57,1640
"INPPL1",7003,3769,6747,6907,3227,1675,2725,7323,4705,3258,13390,10139,1976,3913,7296,16630,13824,5689,1018,5261
"PHOX2A",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,0,0,1,0
"MBL2",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,2,7,2
"GJB2",117,12,175,88,15,32,10,62,67,53,1157,887,169,12,7364,714,900,1624,371,132
"CRYL1",2051,947,1777,2150,1013,546,815,1964,1621,2290,740,2772,569,696,1176,737,1051,1113,172,797
"REEP3",6739,2788,2818,3610,2433,2207,2284,4419,2087,4436,5183,5669,3930,2908,1815,6543,10877,4572,1693,2633
"HEPACAM",1,0,1,3,0,0,0,0,15,0,0,0,2,1,0,0,0,0,7,4
"SKA3",81,18,50,46,10,1,17,27,110,52,157,615,236,93,685,383,1003,121,278,49
"MICU2",1917,1284,1474,2370,1383,937,1086,3053,1415,2459,982,3911,945,1283,2186,2737,2892,1318,684,1579
"DDIAS",169,155,257,301,53,63,150,328,218,125,254,511,125,26,382,417,726,134,480,127
"PCF11",2418,2556,1914,3317,2332,1507,1575,3358,1696,865,2515,3568,1219,660,2665,4244,3676,1682,2331,2115
"PKNOX2",406,1281,1153,1192,505,339,655,589,651,1145,235,271,53,27,65,133,9,101,107,282
"RPL10L",1,1,3,2,1,1,0,0,1,1,0,30,0,1,0,0,4,0,1,0
"LRR1",280,119,223,223,115,85,120,284,258,264,442,452,253,261,277,380,772,217,172,207
"RPL36AL",7388,3857,6392,9863,4013,3080,3208,7676,7640,7472,6296,6532,3993,4629,7782,6735,9433,3885,434,4155
"DNAAF2",484,405,431,708,345,220,180,991,449,616,868,1287,358,692,656,1406,1859,447,108,607
"DEPP1",31840,4927,5996,16862,12671,12819,9572,2204,6952,34157,8134,3533,909,367,3893,2005,1305,17052,1977,1239
"MAGEC3",0,0,1,4,0,0,0,0,1,2,10,4,5,2,14,0,9,3,8,1
"ZNF22-AS1",185,184,231,354,161,103,155,299,194,448,276,219,70,66,84,172,142,62,45,70
"ZNF22",886,633,967,1218,858,415,622,1295,731,1387,1359,1381,525,657,821,2306,2673,592,371,751
"KLHDC2",1015,1133,1702,2122,1126,506,887,2064,1252,1481,1727,2379,1066,2340,921,2359,2645,1187,569,1331
"EML5",36,60,27,34,38,25,21,41,28,6,15,24,10,2,2,14,7,11,54,31
"NEMF",1214,997,1087,1433,1016,756,850,1455,764,470,1677,2569,735,422,782,5042,2565,924,1663,1204
"RPUSD4",1022,484,923,1158,455,281,442,878,788,767,1146,2797,479,663,467,2331,1942,823,299,980
"ARF6",10773,4069,6624,7719,4010,3718,3425,9070,6027,6719,10219,8978,4365,2745,6687,9772,11380,7464,2974,4763
"TTC8",596,478,646,1023,417,215,373,986,390,527,1618,1235,323,543,936,1091,1370,518,380,581
"TMEM63C",127,16,9,55,8,8,3,29,61,6,8,1002,80,29,230,113,159,156,15,224
"NGB",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"NOXRED1",12,14,17,23,17,8,9,53,16,7,5,45,17,16,32,111,17,31,56,39
"CDX2",0,0,0,15,0,0,0,4,5,0,13,9,0,1,23,2,22,2,5,0
"AMER2",0,19,3,1,0,2,1,2,25,7,1,3,10,3,2,0,1,0,22,13
"AKR1E2",39,68,65,80,55,29,49,54,33,60,257,513,43,293,39,1041,650,60,141,29
"KBTBD6",372,294,563,693,267,140,255,685,440,454,673,1238,302,305,346,760,624,232,156,417
"SSX5",0,0,0,0,1,1,0,0,1,2,0,49,0,0,0,0,1,0,2,0
"SSX3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"OTX2",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,7,0
"FAAH2",413,235,292,439,345,167,162,565,306,145,1467,547,709,709,1077,2744,4408,650,113,878
"DRGX",11,8,6,52,5,14,2,26,61,16,4,22,300,0,2,45,0,95,13,11
"NUDT5",2130,1157,1724,2396,1505,817,1078,2664,1735,1529,2878,4591,1900,3699,5090,5194,3961,2873,786,1960
"DACT1",383,232,532,516,111,253,305,245,225,537,318,400,69,5,487,357,88,314,371,362
"OXGR1",27,6,5,51,15,6,23,8,4,9,2,13,2,0,37,3,48,2,2,4
"UCMA",0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
"BEND7",737,607,906,1149,699,478,533,1142,503,375,1384,984,297,477,322,101,1981,465,450,834
"ATP5F1C",5373,2864,4594,6056,3159,1987,2503,6012,4101,7594,8213,11044,3909,5161,12513,10013,14088,4576,992,3298
"PRPF18",249,220,193,347,188,133,159,351,147,263,270,456,109,172,420,362,478,160,127,173
"TAF3",852,810,822,1037,660,524,630,1112,738,486,757,1328,518,248,683,1313,966,421,275,610
"VSTM4",1950,2024,2527,3252,1292,1080,1966,1550,1150,931,686,626,856,40,300,3115,1792,438,322,1002
"VDAC2",3344,1509,2239,3372,1669,1022,1308,3072,1716,2591,2514,3336,1760,2357,2915,5606,6758,1668,446,1419
"SOHLH1",0,0,0,1,0,0,0,0,0,0,0,1,0,0,16,4,41,0,0,0
"COMTD1",373,168,284,509,147,78,190,505,276,661,482,483,56,281,992,1242,2791,454,10,129
"SLC18A2",139,72,194,297,41,101,169,144,138,190,23,86,24,0,10,17,30,37,25,184
"PDZD8",2533,1838,1864,2586,1658,1190,1688,2091,1395,1139,4153,2535,1036,489,508,3949,3319,1573,3112,2216
"ZNF503",984,919,1689,3377,382,254,1344,2473,1395,856,1109,643,588,139,871,1419,4631,638,240,1116
"ABRAXAS2",1399,753,1042,1360,758,519,672,1584,905,973,1490,1893,867,838,1050,2434,2715,729,555,911
"QSOX2",890,573,735,1273,545,314,560,966,966,500,1509,1870,501,676,1700,4397,4487,1181,402,753
"FAM204A",1573,1189,1451,2180,1234,925,1112,2603,1172,2613,1760,1781,982,1707,1160,3105,2806,993,874,1093
"NSD1",3556,3375,4083,4861,2550,1227,2508,3971,3027,1232,6177,5766,2761,1440,3235,14556,5705,2021,5105,4309
"PRDX3",5656,3155,4718,6972,2928,1743,2644,6774,4122,8153,8629,13857,3479,6284,5722,15466,19923,4639,1532,3819
"ENOX2",711,522,684,1021,391,222,409,710,581,502,911,1377,327,312,666,681,2146,429,290,807
"GHITM",9973,4947,6664,9921,4849,3059,4131,10762,6616,9750,9512,9650,4497,12492,6763,13241,28694,5959,1298,6032
"CLEC1B",30,12,33,46,12,12,17,48,14,36,16,13,1,1,6,3,5,13,100,5
"SNAPC4",698,486,830,1077,437,144,315,1145,744,210,1485,893,179,381,1872,5615,2367,1039,125,785
"TMEM52B",179,129,145,120,53,59,53,161,103,145,109,54,35,1,22,40,16,85,119,34
"PMPCA",2708,1062,1929,2463,1150,692,915,2264,1937,1717,4464,2887,716,2944,3654,6707,6377,2100,315,1581
"ENTR1",1105,616,1009,1183,638,244,442,1284,1041,1078,1585,2075,837,946,2582,5935,4438,1191,373,1052
"FRMD7",0,2,1,0,0,0,2,0,1,2,2,4,0,0,1,0,14,0,2,0
"AK8",74,60,114,406,152,16,41,483,191,67,132,115,96,155,285,543,169,135,11,187
"SPACA9",258,239,391,1025,453,83,220,1280,437,317,444,509,190,2148,1441,1132,637,360,25,744
"TSC1",1825,1579,1904,2857,1522,713,1248,3353,1574,552,2472,3563,1955,1003,2489,3888,3377,1433,1832,1355
"GFI1B",27,9,45,61,15,19,11,23,33,47,0,18,2,0,8,8,3,3,7,12
"HPRT1",1044,459,770,914,536,375,426,1106,721,1261,1747,4304,1016,500,1489,2073,2262,1411,810,1076
"BORCS5",502,252,411,568,185,192,226,535,456,472,1587,646,190,340,647,911,877,469,424,335
"DIPK1B",224,247,344,605,148,94,225,256,269,656,1893,363,32,73,357,980,1314,113,14,190
